name,type,industry,revenue,operating_income,net_income,hq_location,num_employees,founded,website,student_careers_url,index_name
"BEA Systems, Inc.",Corporation,Software Company,1535000000.0,-1.0,208200000.0,,-1,-1,https://www.oracle.com/index.html,https://jobs.baesystems.com/global/en,BEA Systems
BIOVIA,Subsidiary,"Life sciences,materials science,Consumer packaged goods,automotive,aerospace,energy,academic,manufacturing,technology",155000000.0,-1.0,-1.0,,700,-1,https://www.3ds.com/,https://careers.3ds.com/,BIOVIA
"BMC Software, Inc.",Private,Computer software,2000000000.0,-1.0,-1.0,,6000,1980,https://www.bmc.com/,https://www.bmc.com/careers/careers.html,BMC Software
Badgeville,Private Company,Software as a service,-1.0,-1.0,-1.0,,70,-1,https://www.sap.com/acquired-brands/what-is-calliduscloud.html,https://www.mckinsey.com/careers/students,Badgeville
Balsamiq Wireframes,,,-1.0,-1.0,-1.0,,-1,-1,https://balsamiq.com/,https://balsamiq.com/company/jobs/,Balsamiq
Bamboo HR LLC,,technology company,-1.0,-1.0,-1.0,"Lindon, Utah",470,2008,https://www.bamboohr.com/,https://www.bamboohr.com/careers/,BambooHR
Bandwidth Inc.,Public,,-1.0,-1.0,-1.0,,700,-1,,https://www.bandwidth.com/careers/,Bandwidth (company)
Bare Bones Software,corporation,Software industry,-1.0,-1.0,-1.0,,-1,-1,,https://www.barebones.com/,Bare Bones Software
Base CRM,Private,Enterprise software,-1.0,-1.0,-1.0,,150,-1,,https://www.salesforce.com/company/careers/,Base CRM
Base One International Corporation,Private,Computer software,-1.0,-1.0,-1.0,,-1,1993,http://boic.com/,https://career.berkeley.edu/IntnlStudents/IS-strategies,Base One International
"Basho Technologies, Inc.",Private company,"Distributed Systems,NoSQL,Cloud storage,software",-1.0,-1.0,-1.0,,-1,-1,,https://www.mckinsey.com/careers/students,Basho Technologies
Basis Technology Corp.,Private,"Information technology,Information access,Digital forensics,Transliteration",-1.0,-1.0,-1.0,,-1,-1,,https://www.basistech.com/about/careers/,Basis Technology
BatchMaster Software,Software Company,"Enterprise resource planning,Enterprise Resource Planning",-1.0,-1.0,-1.0,,300,-1,,https://www.batchmaster.com/careers/,BatchMaster Software
Beeline,Private,Workforce management,-1.0,-1.0,-1.0,Jacksonville,450,1999,,https://www.beeline.com/careers/,Beeline (software company)
BenchPrep,,Education,-1.0,-1.0,-1.0,,-1,-1,https://www.benchprep.com,https://benchprep.com/,BenchPrep
"Bentley Systems, Inc.",Public,Computer Software,700000000.0,-1.0,-1.0,,3800,-1,https://www.bentley.com/en,https://www.bentley.com/en/about-us/careers,Bentley Systems
"Best Way Technologies, Inc.",Private,Software,-1.0,-1.0,-1.0,,-1,-1,https://www.proshipinc.com/solutions/shipping-software,https://www.it-ology.org/it-resources/how-to-start-an-it-career/,Best Way Technologies
BetterCloud,Private,Internet Technology,-1.0,-1.0,-1.0,,-1,-1,,https://www.bettercloud.com/careers/,BetterCloud
BettrLife Corporation,Private,"Health Care,Wellness,Wellness",-1.0,-1.0,-1.0,,-1,-1,http://bettrlife.com/,https://www.bettrlife.com/,BettrLife
Big Tech,,Information technology,-1.0,-1.0,-1.0,,-1,-1,,https://learn.joinhandshake.com/students/tech-companies-hiring-students-now/,Big Tech
Billions in Change,Limited Liability Corporation (LLC),,-1.0,-1.0,-1.0,,-1,-1,https://billionsinchange.com/,https://billionsinchange.com/contact/,Billions in Change
"Bio-Rad Laboratories, Inc.",Public,Medical laboratories,2311000000.0,229660000.0,1760000000.0,,8120,-1,https://www.bio-rad.com/,https://www.bio-rad.com/en-us/corporate/summer-internship,Bio-Rad Laboratories
BioPharm Systems,Private,"IT service management,IT services,Information technology consulting,IT consulting",-1.0,-1.0,-1.0,"San Mateo, California",50,-1,,https://www.pfizer.com/careers/en/early-careers,BioPharm (US company)
Bitstream Inc.,Public,"Type foundry,mobile phone web browsers",-1.0,-1.0,-1.0,,96,-1,,https://corporate.ford.com/careers.html,Bitstream Inc.
"Blackbaud, Inc.",Public,"Software,Software publishing",-1.0,-1.0,-1.0,,-1,-1,,https://www.blackbaud.com/company/careers,Blackbaud
Blackline,Public,Software,289000000.0,-1.0,-1.0,,1055,2001,https://www.blackline.com/,https://www.blackline.com/careers/,Blackline (software company)
Blaxxun Interactive,Private company,,-1.0,-1.0,-1.0,,130,-1,,https://joinhandshake.com/,Blaxxun
Blitz,Private,Software,-1.0,-1.0,-1.0,,-1,-1,https://www.spirent.com/products/cyberflood-security-test,https://blitz.com/,Blitz (software)
Blockstream,Corporation,"Cryptocurrency,software",-1.0,-1.0,-1.0,,50,-1,https://blockstream.com/,https://blockstream.com/careers/,Blockstream
Bloomfire,,software-as-a-service,-1.0,-1.0,-1.0,"Austin, Texas",-1,2010,https://bloomfire.com/,https://bloomfire.com/,Bloomfire
Blue Marble Geographics,Private,"Geographic information system,Computer software,software",-1.0,-1.0,-1.0,,-1,-1,https://bluemarblegeo.com/,https://www.bluemarblegeo.com/about-us/careers.php,Blue Marble Geographics
