Rank,name,website,students_careers_url,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),hq_location
166,"Perforce Software, Inc.",perforce.com,https://www.perforce.com/careers,"Software,Consulting",Private,1995,250,23,-,"Minneapolis, MN"
167,IZotope,izotope.com,https://www.izotope.com/en/company/education/partners.html,"Software,Electronics",Private,2001,170,7.5,-,"Cambridge, MA"
168,"Rogue Wave Software, Inc.",roguewave.com,https://www.roguewave.com/products-services/student-request-form,Other,Private,1989,400,79.5,-,"Louisville, CO"
169,Infor,infor.com,https://www.infor.com/about/careers,Software,Private,2002,17000,"2,800.00",-,"New York, NY"
170,"Recorded Future, Inc.",recordedfuture.com,https://www.recordedfuture.com/careers/,"Consulting,Security",Private,2009,450,100,-,"Somerville, MA"
171,"Veracode, Inc.",veracode.com,https://www.veracode.com/about/careers,Software,Private,2006,750,58.5,-,"Burlington, MA"
172,"Ipswitch, Inc.",ipswitch.com,https://www.ipswitch.com/,"Consulting,Networking,Security",Private,1991,300,75,-,"Burlington, MA"
173,Coda,coda.io,https://boards.greenhouse.io/coda,Other,Private,2014,600,25,-,"San Francisco, CA"
174,"Tripwire, Inc.",tripwire.com,https://www.tripwire.com/company/careers,Other,Private,1997,400,86.2,-,"Portland, OR"
175,"SmartBear Software, Inc.",smartbear.com,https://smartbear.com/company/careers/,Software,Private,2009,650,51.1,-,
176,Sauce Labs,saucelabs.com,https://saucelabs.com/company/careers,Software,Private,2008,330,30,-,"San Francisco, CA"
177,"Universal Audio, Inc.",uaudio.com,https://www.uaudio.com/careers/,Other,Private,1999,200,24.7,-,"Scotts Valley, CA"
178,"Databricks, Inc.",databricks.com,https://databricks.com/company/careers,Software,Private,2013,1440,200,-,"San Francisco, CA"
179,"Hortonworks, Inc.",hortonworks.com,https://www.cloudera.com/careers/teams/university-recruiting.html,Software,Private,2011,1110,1,-,"Santa Clara,CA"
180,"GrabCAD, Inc.",grabcad.com,https://resources.grabcad.com/jobs/,Other,Public,2009,80,865,-,"Cambridge, MA"
181,"Cadence Design Systems, Inc.",cadence.com,https://www.cadence.com/en_US/home/company/careers.html,Software,Public,1988,8100,"2,340.00",-,"San Jose, CA"
182,Kofax Inc.,kofax.com,https://www.kofax.com/About/our-company/careers,Software,Private,1985,1380,100,-,"Irvine, CA"
183,NortonLifeLock Inc.,nortonlifelock.com,https://www.nortonlifelock.com/us/en/careers/,"Software,Consulting,Security",Public,1982,3670,"2,490.00",621,"Tempe, AZ"
184,Brandfolder,brandfolder.com,https://jobs.brandfolder.com/,"Software,Consulting",Private,2012,50,24,-,"Denver, CO"
185,"Daz Productions, Inc",daz3d.com,https://www.linkedin.com/company/daz-productions,Other,Private,2000,40,"2,270.00",-,"Salt Lake City, UT"
186,NationBuilder,nationbuilder.com,https://nationbuilder.com/careers,Software,Private,2009,100,14.8,-,Los Angeles
187,"LogMeIn, Inc.",logmeininc.com,https://www.logmeininc.com/careers,Software,Private,2003,3970,"1,260.00",-,"Boston, MA"
188,EPAM Systems,epam.com,https://www.epam.com/careers,Software,Public,1993,36700,"2,290.00",-,"Newtown, PA"
189,Sumo Logic,sumologic.com,https://www.sumologic.com/company/careers/,"Software,Consulting,Security",Public,2010,800,155,-,"Redwood City, CA"
190,Caliper Corporation,caliper.com,https://www.caliper.com/jobs.htm,Software,Private,1983,150,19.2,-,"Princeton, NJ"
191,"NETSCOUT Systems, Inc.",netscout.com,https://www.netscout.com/company/be-a-guardian,Other,Public,1984,3000,"1,160.00",62.1,"Westford, MA"
192,Boris FX,borisfx.com,https://borisfx.com/company/careers/,"Software,Multimedia",Private,1995,145,9,-,"Boston, MA"
193,"PKWARE, Inc",pkware.com,https://www.pkware.com/careers,Software,Private,1986,100,14.1,-,"Milwaukee, WI"
194,Shopkick,shopkick.com,https://www.shopkick.com/careers,Other,Private,2009,160,"2,500.00",-,"Redwood City, CA"
195,EON Reality,eonreality.com,https://eonreality.com/tag/student-recruitment/,"Consulting,Artificial Intelligence",Private,1999,50,28.1,-,"Irvine, CA"
196,Wanderu,wanderu.com,https://www.wanderu.com/blog/wanderu-careers/,"Software,Travel",Private,2011,45,200,-,"Boston, MA"
197,ITA Software LLC,itasoftware.com,https://www.zippia.com/ita-software-careers-513200/,"Software,Travel",Private,1996,450,38,-,"Cambridge, MA"
198,"Tyler Technologies, Inc.",tylertech.com,https://www.tylertech.com/careers,Software,Public,1966,5370,"1,090.00",156,"Plano, TX"
199,Telenav,telenav.com,https://careers.telenav.com/,Other,Public,1999,580,240,,"Santa Clara, CA"
200,"ecoATM, LLC",ecoatm.com,https://www.ecoatm.com/pages/careers,Other,Private,2008,300,26.1,-,
201,Forcepoint LLC,forcepoint.com,https://www.forcepoint.com/company/careers,"Consulting,Security",Private,1994,2300,658,-,"Austin, TX"
202,Hubstaff,hubstaff.com,https://hubstaff.com/jobs,Other,Private,2012,60,"3,800.00",-,"Indianapolis, IN"
203,Jive,jivesoftware.com,https://www.jivesoftware.com/company/,Other,Private,2001,660,196,-,"Palo Alto, CA"
204,PARC,parc.com,https://www.parc.com/blog/a-bright-future-ahead-for-2018-parc-interns/,Other,Private,1970,200,16.9,-,"Palo Alto, CA"
205,Workfront,workfront.com,https://careers.workfront.com/,Other,Private,2001,670,230,-,"Lehi, UT"
206,Procore Technologies,procore.com,https://www.procore.com/jobs,Software,Private,2003,1600,289,-,"Carpinteria, CA"
207,Intego,intego.com,https://www.intego.com/company/careers,"Software,Consulting,Security",Private,1997,256,38.3,-,"Seattle, WA"
208,"MapR Technologies, Inc.",mapr.com,https://mapr.agency/careers/,Software,Private,2009,456,400,-,"Houston, TX"
209,Universal Robots,universal-robots.com,https://www.universal-robots.com/career/,Automobiles,Private,2005,680,248,-,
