name,industry,type,founded,num_employees,revenue,stock price,student_careers_url
CBTF Technology,"Marine,Technology",,-1,-1,-1,-1.0,https://osfa.illinois.edu/types-of-aid/employment/virtual-job-board/
CD-adapco,"Computer-aided engineering,Computer software,software",Privately Held,-1,900,-1,-1.0,http://mdx2.plm.automation.siemens.com/careers
CECO Environmental Corp.,Pollution,Public,-1,-1,-1,6.25,https://www.cecoenviro.com/careers
CERTPOINT Systems Inc.,eLearning software and services,Private,-1,-1,-1,-1.0,http://www.certificationpoint.org/
CHS Electronics,software,,1994,-1,-1,-1.0,https://www.chsinc.com/careers
CTERA,"Cloud storage,Cloud storage gateway,s,Data protection,Online backup service,Data synchronization",Private,-1,-1,-1,-1.0,https://www.ctera.com/company/careers/
CTL,Technology,private,-1,-1,-1,-1.0,https://ctl.net/pages/jobs
CYBRA Corporation,Computer Software Solutions,Public,-1,-1,-1,21.5,https://cybra.com/careers/
"Cadence Design Systems, Inc.",Computer Software,Public,-1,8100,2336000000,124.06999969482422,https://www.cadence.com/en_US/home/company/careers.html
"Cakewalk, Inc.",Software,Private,-1,-1,-1,-1.0,https://www.cakewalk.com/Careers
