,name,industry,type,founded,num_employees,revenue,operating_income,net_income,student_careers_url,website,page_rank
316,Code42,Software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.code42.com/careers/,https://www.code42.com/,5.83
317,CodeWeavers,Computer software,Private,-1,30,-1.0,-1.0,-1.0,https://www.codeweavers.com/about/jobs,https://www.codeweavers.com/,6.02
322,CollaborateMD,Software,Private,1999,-1,-1.0,-1.0,-1.0,https://www.collaboratemd.com/about-us/careers/,https://www.collaboratemd.com/,4.73
324,Cologix,Data center management,,2010,-1,-1.0,-1.0,-1.0,https://www.cologix.com/company/careers/,https://www.cologix.com/,5.32
326,CommerceHub,"E-commerce,drop shipping",Private,-1,-1,-1.0,-1.0,-1.0,https://www.commercehub.com/careers/,https://www.commercehub.com/,5.2
336,Conductor,Digital marketing,Private,-1,-1,-1.0,-1.0,-1.0,https://www.conductor.com/careers/,https://www.conductor.com/,5.69
338,Connectbeam,Enterprise social software,Private,-1,-1,-1.0,-1.0,-1.0,https://careers.linkedin.com/students,http://connectbeam.com/,4.81
344,Conversica,,,-1,250,-1.0,-1.0,-1.0,https://www.conversica.com/careers/,https://www.conversica.com/,5.37
345,Conversocial,Software,Private,2009,-1,-1.0,-1.0,-1.0,https://www.conversocial.com/about/careers,https://www.conversocial.com/,5.75
346,Convoy,Trucking software,,-1,-1,-1.0,-1.0,-1.0,https://convoy.com/convoy-careers/,https://convoy.com/,5.42
354,CoverMyMeds,Health informatics,Subsidiary,-1,-1,-1.0,-1.0,-1.0,https://experience.covermymeds.com/,https://www.covermymeds.com/,5.56
361,Cvent,Software for planning managing and hosting in-person virtual and hybrid events conferences and meetings,Private,-1,3600,-1.0,-1.0,-1.0,https://www.cvent.com/en/careers,https://www.cvent.com/,6.59
383,DataTreasury,,Private,-1,2,-1.0,-1.0,-1.0,https://careers.jpmorgan.com/us/en/students,http://datatreasury.com/,4.22
388,Datalight,Computer software,Private,1983,29,-1.0,-1.0,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,https://www.datalight.com/,5.45
391,Daxcon,"Aerospace,defense industry,Defense,Automotive,Agriculture,Product,Consumer Products,Construction,Mining",Private,-1,350,-1.0,-1.0,-1.0,"https://www.glassdoor.com/Overview/Working-at-Daxcon-EI_IE140278.11,17.htm",http://daxcon.com/,3.44
396,Dealpath,Commercial Real Estate Software,Private,2014,-1,-1.0,-1.0,-1.0,https://www.dealpath.com/careers/,https://www.dealpath.com/,5.27
413,Democrasoft,Patent monetization,Public,-1,-1,-1.0,-1.0,-1.0,http://www.democrasoft.com/,http://www.democrasoft.com/,4.65
418,Devicescape,"Mobile phone,Mobile,Software",Private,-1,-1,-1.0,-1.0,-1.0,http://www.devicescape.com/open-positions/,http://www.devicescape.com/,5.28
420,Dialogic,Telecommunication,Private,-1,-1,-1.0,-1.0,-1.0,https://www.mckinsey.com/careers/students,https://www.dialogic.com/,5.44
447,DreamHammer,Enterprise Software,Private,2011,-1,-1.0,-1.0,-1.0,https://giardinopol.lensa.com/dreamhammer/jobs/c/65272c02c24b2a49419861a81e352dd51ab8fa27,https://www.dreamhammer.com/,4.68
448,Dropbox,,,-1,-1,-1.0,-1.0,-1.0,https://www.dropbox.com/jobs,https://www.dropbox.com/,7.96
460,EVRYTHNG,,Private,-1,-1,-1.0,-1.0,-1.0,https://www.topuniversities.com/student-info/careers-advice/everything-students-need-know-about-virtual-internships,https://evrythng.com/,5.63
461,eVoice,"Service,Business Services",Subsidiary,-1,-1,-1.0,-1.0,-1.0,https://www.indeed.com/q-Automated-Voice-jobs.html,https://www.evoice.com/,5.33
477,Enertia Software,software,,-1,-1,-1.0,-1.0,-1.0,https://www.enertia-software.com/careers,https://www.enertia-software.com/,4.09
492,Enthought,Computer software,,2001,-1,-1.0,-1.0,-1.0,https://www.enthought.com/careers/,https://www.enthought.com/,5.67
496,Epicor,Computer software,Private,-1,4100,900000000.0,-1.0,-1.0,https://jobs.epicor.com/,https://www.epicor.com/,5.44
500,Esri,"Software,Geographic information system,Geographic Information Systems",Private,1969,3800,-1.0,-1.0,-1.0,https://www.esri.com/en-us/about/careers/student-jobs,https://www.esri.com/,6.66
504,Expensify,"Expense management,software",,-1,-1,-1.0,-1.0,-1.0,https://we.are.expensify.com/,https://www.expensify.com/,6.19
515,FastSpring,SaaS,Private,-1,-1,-1.0,-1.0,-1.0,https://fastspring.com/company/careers/,https://fastspring.com/,5.47
