Company Name, Number of H1B in 2020, Median Salary Overall, Post, Median salary for post, Number of h1bs filed for that post  
Fidelity National Information, 27 Records from 2020, Median Salary $73486, SOFTWARE DEVELOPER ENGINEER, $73,486, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE ENGINEER I, $81,141, 10
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE ENGINEER II, $97,480, 5
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE ENGINEER, $90,376, 5
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE ENGINEER SENIOR, $94,168, 3
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE QUALITY ASSURANCE QA ANALYST, $111,238, 3
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPER, $88,078, 2
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE QA CONSULTANT VP, $111,238, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPER - BIG DATA DEVELOPMENT, $111,010, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPER â WEB DEVELOPMENT, $108,971, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPER â ROBOTICS PROCESS AUTOMATION, $108,971, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPMENT SPECIALIST 4, $77,459, 1
State Street, 34 Records from 2020, Median Salary $94168, SOFTWARE DEVELOPMENT SPECIALIST 3, $70,387, 1
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE DEVELOPMENT ENGINEER, $127,897, 102
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE QUALITY ENGINEER, $108,896, 6
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE DEVELOPER, $152,183, 2
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE DEVELOPMENT MANAGER, $154,669, 1
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE DEVELOPMENT ENGINEER MTS, MOBILE VIDEO PRODUCTS, $108,784, 1
